,FECHA,ESTACION,TIPO_CONTAMINANTE,CANTIDAD_CONTAMINANTE,AQI,longitud,latitud,AQI_CATEGORY
152,2024-01-09,BJU,CO,0.5470833333333333,6.21685606060606,-99.159596,19.370464,GOOD
153,2024-01-09,CAM,CO,0.9529166666666665,10.828598484848484,-99.169794,19.468404,GOOD
154,2024-01-09,CCA,CO,0.5695833333333333,6.472537878787879,-99.176111,19.326111,GOOD
155,2024-01-09,CHO,CO,0.40910714285714284,4.648944805194805,-98.886088,19.266948,GOOD
156,2024-01-09,CUA,CO,0.3445833333333333,3.915719696969697,-99.291705,19.365313,GOOD
157,2024-01-09,FAC,CO,0.9291666666666667,10.55871212121212,-99.243524,19.482473,GOOD
158,2024-01-09,HGM,CO,0.5870833333333333,6.671401515151515,-99.152207,19.411617,GOOD
159,2024-01-09,IZT,CO,0.6883333333333334,7.821969696969698,-99.117641,19.384413,GOOD
160,2024-01-09,LPR,CO,0.8304166666666667,9.436553030303031,-99.11772,19.534727,GOOD
161,2024-01-09,MER,CO,0.84,9.545454545454545,-99.119594,19.42461,GOOD
162,2024-01-09,MGH,CO,0.5533333333333333,6.287878787878788,-99.20266,19.40405,GOOD
163,2024-01-09,MPA,CO,0.14708333333333334,1.671401515151515,-98.990189,19.1769,GOOD
164,2024-01-09,PED,CO,0.3939285714285714,4.476461038961038,-99.204136,19.325146,GOOD
165,2024-01-09,SAC,CO,0.43875000000000003,4.985795454545454,-99.009381,19.34561,GOOD
166,2024-01-09,SAG,CO,0.49416666666666664,5.615530303030304,-99.030324,19.532968,GOOD
167,2024-01-09,TAH,CO,0.45363095238095236,5.154897186147186,-99.010564,19.246459,GOOD
168,2024-01-09,TLI,CO,0.6709722222222222,7.624684343434343,-99.177173,19.602542,GOOD
169,2024-01-09,UIZ,CO,0.6854166666666667,7.788825757575758,-99.07388,19.360794,GOOD
170,2024-01-10,BJU,CO,0.5396428571428571,6.132305194805195,-99.159596,19.370464,GOOD
171,2024-01-10,CAM,CO,0.7395833333333334,8.40435606060606,-99.169794,19.468404,GOOD
172,2024-01-10,CCA,CO,0.5133333333333333,5.833333333333333,-99.176111,19.326111,GOOD
173,2024-01-10,CHO,CO,0.2995833333333333,3.4043560606060606,-98.886088,19.266948,GOOD
174,2024-01-10,CUA,CO,0.17541666666666667,1.993371212121212,-99.291705,19.365313,GOOD
175,2024-01-10,FAC,CO,0.5225,5.937499999999999,-99.243524,19.482473,GOOD
176,2024-01-10,HGM,CO,0.5895833333333332,6.6998106060606055,-99.152207,19.411617,GOOD
177,2024-01-10,IZT,CO,0.7250000000000001,8.238636363636365,-99.117641,19.384413,GOOD
178,2024-01-10,LPR,CO,0.7391666666666666,8.399621212121211,-99.11772,19.534727,GOOD
179,2024-01-10,MER,CO,0.8220833333333332,9.34185606060606,-99.119594,19.42461,GOOD
180,2024-01-10,MGH,CO,0.5650000000000001,6.420454545454546,-99.20266,19.40405,GOOD
181,2024-01-10,MPA,CO,0.12458333333333334,1.415719696969697,-98.990189,19.1769,GOOD
182,2024-01-10,PED,CO,0.409702380952381,4.655708874458874,-99.204136,19.325146,GOOD
183,2024-01-10,SAC,CO,0.135,1.5340909090909092,-99.009381,19.34561,GOOD
184,2024-01-10,SAG,CO,0.36220238095238094,4.115936147186147,-99.030324,19.532968,GOOD
185,2024-01-10,TAH,CO,0.3325,3.7784090909090913,-99.010564,19.246459,GOOD
186,2024-01-10,TLI,CO,1.4806249999999999,16.82528409090909,-99.177173,19.602542,GOOD
187,2024-01-10,UIZ,CO,0.27458333333333335,3.120265151515152,-99.07388,19.360794,GOOD
188,2024-01-11,BJU,CO,0.43333333333333335,4.924242424242424,-99.159596,19.370464,GOOD
189,2024-01-11,CAM,CO,1.5764166666666666,17.913825757575758,-99.169794,19.468404,GOOD
190,2024-01-11,CCA,CO,0.5628333333333334,6.395833333333333,-99.176111,19.326111,GOOD
191,2024-01-11,CHO,CO,0.9722380952380952,11.048160173160172,-98.886088,19.266948,GOOD
192,2024-01-11,FAC,CO,0.9414285714285714,10.698051948051948,-99.243524,19.482473,GOOD
193,2024-01-11,HGM,CO,0.6233333333333334,7.083333333333333,-99.152207,19.411617,GOOD
194,2024-01-11,IZT,CO,0.7080833333333333,8.046401515151514,-99.117641,19.384413,GOOD
195,2024-01-11,LPR,CO,1.0695833333333333,12.154356060606062,-99.11772,19.534727,GOOD
196,2024-01-11,MER,CO,0.928952380952381,10.556277056277056,-99.119594,19.42461,GOOD
197,2024-01-11,MGH,CO,0.5358333333333333,6.089015151515151,-99.20266,19.40405,GOOD
198,2024-01-11,MPA,CO,0.16766666666666666,1.90530303030303,-98.990189,19.1769,GOOD
199,2024-01-11,PED,CO,0.45249999999999996,5.142045454545454,-99.204136,19.325146,GOOD
200,2024-01-11,SAC,CO,0.9505833333333333,10.802083333333334,-99.009381,19.34561,GOOD
201,2024-01-11,SAG,CO,0.8251666666666667,9.37689393939394,-99.030324,19.532968,GOOD
202,2024-01-11,TAH,CO,0.3695,4.198863636363637,-99.010564,19.246459,GOOD
203,2024-01-11,TLI,CO,0.9015833333333334,10.245265151515152,-99.177173,19.602542,GOOD
204,2024-01-11,UIZ,CO,0.7306666666666667,8.303030303030303,-99.07388,19.360794,GOOD
205,2024-01-12,AJM,CO,0.25666666666666665,2.9166666666666665,-99.207744,19.272161,GOOD
206,2024-01-12,BJU,CO,0.8225000000000001,9.346590909090908,-99.159596,19.370464,GOOD
207,2024-01-12,CAM,CO,1.83375,20.838068181818183,-99.169794,19.468404,GOOD
208,2024-01-12,CCA,CO,0.6304166666666666,7.163825757575758,-99.176111,19.326111,GOOD
209,2024-01-12,CHO,CO,1.2760714285714285,14.500811688311687,-98.886088,19.266948,GOOD
210,2024-01-12,FAC,CO,1.4879166666666668,16.90814393939394,-99.243524,19.482473,GOOD
211,2024-01-12,HGM,CO,0.9708333333333332,11.032196969696969,-99.152207,19.411617,GOOD
212,2024-01-12,IZT,CO,1.0395833333333335,11.813446969696969,-99.117641,19.384413,GOOD
213,2024-01-12,LPR,CO,1.15125,13.082386363636365,-99.11772,19.534727,GOOD
214,2024-01-12,MER,CO,1.2108333333333334,13.759469696969697,-99.119594,19.42461,GOOD
215,2024-01-12,MGH,CO,0.9866666666666667,11.212121212121211,-99.20266,19.40405,GOOD
216,2024-01-12,MPA,CO,0.1494047619047619,1.6977813852813854,-98.990189,19.1769,GOOD
217,2024-01-12,PED,CO,0.7864285714285715,8.936688311688311,-99.204136,19.325146,GOOD
218,2024-01-12,SAC,CO,0.7354166666666666,8.357007575757576,-99.009381,19.34561,GOOD
219,2024-01-12,SAG,CO,0.7545833333333333,8.574810606060607,-99.030324,19.532968,GOOD
220,2024-01-12,TAH,CO,0.4216666666666667,4.791666666666667,-99.010564,19.246459,GOOD
221,2024-01-12,TLI,CO,0.9466666666666667,10.757575757575756,-99.177173,19.602542,GOOD
222,2024-01-12,UIZ,CO,0.92875,10.553977272727273,-99.07388,19.360794,GOOD
223,2024-01-13,AJM,CO,0.31502380952380954,3.5798160173160176,-99.207744,19.272161,GOOD
224,2024-01-13,BJU,CO,0.8408333333333333,9.554924242424242,-99.159596,19.370464,GOOD
225,2024-01-13,CAM,CO,1.4004166666666666,15.913825757575756,-99.169794,19.468404,GOOD
226,2024-01-13,CCA,CO,0.565,6.420454545454544,-99.176111,19.326111,GOOD
227,2024-01-13,CUA,CO,0.3516666666666666,3.996212121212121,-99.291705,19.365313,GOOD
228,2024-01-13,FAC,CO,0.8207142857142857,9.326298701298702,-99.243524,19.482473,GOOD
229,2024-01-13,HGM,CO,0.93375,10.610795454545455,-99.152207,19.411617,GOOD
230,2024-01-13,IZT,CO,0.9616666666666666,10.928030303030303,-99.117641,19.384413,GOOD
231,2024-01-13,LPR,CO,1.13625,12.911931818181818,-99.11772,19.534727,GOOD
232,2024-01-13,MER,CO,1.2616666666666667,14.337121212121211,-99.119594,19.42461,GOOD
233,2024-01-13,MGH,CO,0.7823809523809523,8.89069264069264,-99.20266,19.40405,GOOD
234,2024-01-13,MPA,CO,0.1675,1.903409090909091,-98.990189,19.1769,GOOD
235,2024-01-13,PED,CO,0.37041666666666667,4.209280303030302,-99.204136,19.325146,GOOD
236,2024-01-13,SAC,CO,0.8929166666666667,10.146780303030305,-99.009381,19.34561,GOOD
237,2024-01-13,SAG,CO,0.9420833333333333,10.705492424242422,-99.030324,19.532968,GOOD
238,2024-01-13,TAH,CO,0.505,5.738636363636364,-99.010564,19.246459,GOOD
239,2024-01-13,TLI,CO,1.0625,12.073863636363635,-99.177173,19.602542,GOOD
